features
APP_CAT#SUP:ENTER
LOC_LABEL#SUP:eating
LOC_LABEL#SUP:none
LOC_DUR_social#SUM
LOC_DUR_work#SUM
APP_DUR_SYSTEM#SUM
APP_DUR_ENTER#SUM
APP_DUR_SOCIAL#SUM
LOC_DUR_home#SUM
LOC_LABEL#SUP:social
ACT_DUR_WALKING#SUM
APP_DUR_WORK#SUM
LOC_DUR_none#SUM
LOC_DST#SUM
APP_CAT#SUP:HEALTH
ACT_DUR_IN_VEHICLE#SUM
APP_CAT#SUP:SOCIAL
LOC_DUR_eating#SUM
LOC_LABEL#SUP:work
APP_CAT#SUP:INFO
APP_CAT#SUP:SYSTEM
LOC_LABEL#SUP:gym
APP_DUR_INFO#SUM
LOC_LABEL#SUP:home
ACT_DUR_STILL#SUM
APP_CAT#SUP:WORK
