number of subwindows,window size,missing features % (threshold=20%),missing features % (threshold=10%),missing features % (threshold=2%),missing features % (threshold=1%),missing features % (threshold=0.5%)
2,40,0.0,0.0,0.29215022566086396,1.9322211476466793,1.9322211476466793
2,80,0.0,0.0,0.23372018052869115,1.9181173436492585,1.9181173436492585
2,160,0.0,0.0,1.9886363636363633,1.9886363636363633,1.9886363636363633
4,40,0.0,0.0,0.3505802707930368,1.9463249516441004,1.9463249516441004
4,80,0.0,0.0,0.295172469374597,1.9503546099290776,1.9503546099290776
4,160,0.0,0.0,2.000725338491296,2.000725338491296,2.000725338491296
8,40,0.0,0.0,0.359647001934236,1.9553916827853,1.9553916827853
8,80,0.0,0.0,0.6749677627337202,1.9780585106382975,1.9780585106382975
8,160,0.0,0.0,2.0264144100580266,2.0264144100580266,2.0264144100580266
